Year,Division,Indicator,Description,Number of Students Missing 10% or More of the Days Enrolled,Number of Students Enrolled for Half the Year or More,Chronic Absenteeism Rate,
2019,Patrick County Public Schools,Meadows of Dan Elementary ,Chronic Absenteeism,2018 - 2019,6,395,1.52
2019,Patrick County Public Schools,Patrick County High,Chronic Absenteeism,2018 - 2019,107,817,13.1
2019,Patrick County Public Schools,Patrick Springs Elementary,Chronic Absenteeism,2018 - 2019,24,233,10.3
2019,Patrick County Public Schools,Stuart Elementary,Chronic Absenteeism,2018 - 2019,28,365,7.67
2019,Patrick County Public Schools,Woolwine Elementary,Chronic Absenteeism,2018 - 2019,13,163,7.98
2019,Petersburg City Public Schools,Cool Spring Elementary,Chronic Absenteeism,2018 - 2019,32,514,6.23
2019,Petersburg City Public Schools,Lakemont Elementary,Chronic Absenteeism,2018 - 2019,118,440,26.82
2019,Petersburg City Public Schools,Petersburg High,Chronic Absenteeism,2018 - 2019,437,981,44.55
2019,Petersburg City Public Schools,Pleasants Lane Elementary,Chronic Absenteeism,2018 - 2019,90,506,17.79
2019,Petersburg City Public Schools,Vernon Johns Middle,Chronic Absenteeism,2018 - 2019,175,777,22.52
2019,Petersburg City Public Schools,Walnut Hill Elementary,Chronic Absenteeism,2018 - 2019,74,572,12.94
2019,Pittsylvania County Public Schools,Brosville Elementary ,Chronic Absenteeism,2018 - 2019,24,228,10.53
2019,Pittsylvania County Public Schools,Chatham Elementary,Chronic Absenteeism,2018 - 2019,19,225,8.44
2019,Pittsylvania County Public Schools,Chatham High,Chronic Absenteeism,2018 - 2019,91,601,15.14
2019,Pittsylvania County Public Schools,Chatham Middle,Chronic Absenteeism,2018 - 2019,42,464,9.05
2019,Pittsylvania County Public Schools,Dan River High,Chronic Absenteeism,2018 - 2019,131,695,18.85
2019,Pittsylvania County Public Schools,Dan River Middle,Chronic Absenteeism,2018 - 2019,61,506,12.06
2019,Pittsylvania County Public Schools,Gretna Elementary,Chronic Absenteeism,2018 - 2019,73,502,14.54
2019,Pittsylvania County Public Schools,Gretna High,Chronic Absenteeism,2018 - 2019,122,558,21.86
2019,Pittsylvania County Public Schools,Gretna Middle,Chronic Absenteeism,2018 - 2019,93,446,20.85
2019,Pittsylvania County Public Schools,John L. Hurt Elementary,Chronic Absenteeism,2018 - 2019,18,233,7.73
2019,Pittsylvania County Public Schools,Kentuck Elementary,Chronic Absenteeism,2018 - 2019,83,545,15.23
2019,Pittsylvania County Public Schools,Mount Airy Elementary,Chronic Absenteeism,2018 - 2019,18,148,12.16
2019,Pittsylvania County Public Schools,Southside Elementary,Chronic Absenteeism,2018 - 2019,42,401,10.47
2019,Pittsylvania County Public Schools,Stony Mill Elementary,Chronic Absenteeism,2018 - 2019,42,422,9.95
2019,Pittsylvania County Public Schools,Tunstall High,Chronic Absenteeism,2018 - 2019,138,834,16.55
2019,Pittsylvania County Public Schools,Tunstall Middle,Chronic Absenteeism,2018 - 2019,84,646,13
2019,Pittsylvania County Public Schools,Twin Springs Elementary,Chronic Absenteeism,2018 - 2019,79,763,10.35
2019,Pittsylvania County Public Schools,Union Hall Elementary,Chronic Absenteeism,2018 - 2019,10,212,4.72
2019,Poquoson City Public Schools,Poquoson Elementary,Chronic Absenteeism,2018 - 2019,24,464,5.17
2019,Poquoson City Public Schools,Poquoson High,Chronic Absenteeism,2018 - 2019,43,707,6.08
2019,Poquoson City Public Schools,Poquoson Middle,Chronic Absenteeism,2018 - 2019,37,513,7.21
2019,Poquoson City Public Schools,Poquoson Primary,Chronic Absenteeism,2018 - 2019,25,444,5.63
2019,Portsmouth City Public Schools,Brighton Elementary ,Chronic Absenteeism,2018 - 2019,68,426,15.96
2019,Portsmouth City Public Schools,Churchland Academy Elementary,Chronic Absenteeism,2018 - 2019,63,696,9.05
2019,Portsmouth City Public Schools,Churchland Elementary,Chronic Absenteeism,2018 - 2019,74,851,8.7
2019,Portsmouth City Public Schools,Churchland High,Chronic Absenteeism,2018 - 2019,136,1338,10.16
2019,Portsmouth City Public Schools,Churchland Middle,Chronic Absenteeism,2018 - 2019,194,841,23.07
2019,Portsmouth City Public Schools,Churchland Primary & Intermediate,Chronic Absenteeism,2018 - 2019,39,508,7.68
2019,Portsmouth City Public Schools,Cradock Middle,Chronic Absenteeism,2018 - 2019,112,466,24.03
2019,Portsmouth City Public Schools,Douglass Park Elementary,Chronic Absenteeism,2018 - 2019,125,632,19.78
2019,Portsmouth City Public Schools,Hodges Manor Elementary,Chronic Absenteeism,2018 - 2019,49,549,8.93
2019,Portsmouth City Public Schools,I.C. Norcom High,Chronic Absenteeism,2018 - 2019,308,995,30.95
2019,Portsmouth City Public Schools,James Hurst Elementary,Chronic Absenteeism,2018 - 2019,117,607,19.28
2019,Portsmouth City Public Schools,John Tyler Elementary,Chronic Absenteeism,2018 - 2019,155,611,25.37
2019,Portsmouth City Public Schools,Lakeview Elementary,Chronic Absenteeism,2018 - 2019,31,450,6.89
2019,Portsmouth City Public Schools,Park View Elementary,Chronic Absenteeism,2018 - 2019,56,578,9.69
2019,Portsmouth City Public Schools,Simonsdale Elementary,Chronic Absenteeism,2018 - 2019,74,679,10.9
2019,Portsmouth City Public Schools,Victory Elementary,Chronic Absenteeism,2018 - 2019,56,586,9.56
2019,Portsmouth City Public Schools,Westhaven Elementary,Chronic Absenteeism,2018 - 2019,70,536,13.06
2019,Portsmouth City Public Schools,William E. Waters Middle,Chronic Absenteeism,2018 - 2019,95,560,16.96
2019,Portsmouth City Public Schools,Woodrow Wilson High,Chronic Absenteeism,2018 - 2019,273,1218,22.41
2019,Powhatan County Public Schools,Flat Rock Elementary,Chronic Absenteeism,2018 - 2019,23,618,3.72
2019,Powhatan County Public Schools,Pocahontas Elementary,Chronic Absenteeism,2018 - 2019,26,731,3.56
2019,Powhatan County Public Schools,Powhatan Elementary,Chronic Absenteeism,2018 - 2019,19,486,3.91
2019,Powhatan County Public Schools,Powhatan High,Chronic Absenteeism,2018 - 2019,132,1402,9.42
2019,Powhatan County Public Schools,Powhatan Middle,Chronic Absenteeism,2018 - 2019,55,1029,5.34
2019,Prince Edward County Public Schools,Prince Edward County High,Chronic Absenteeism,2018 - 2019,167,607,27.51
2019,Prince Edward County Public Schools,Prince Edward Elementary,Chronic Absenteeism,2018 - 2019,97,730,13.29
2019,Prince Edward County Public Schools,Prince Edward Middle,Chronic Absenteeism,2018 - 2019,112,604,18.54
2019,Prince George County Public Schools,David A. Harrison Elementary,Chronic Absenteeism,2018 - 2019,80,561,14.26
2019,Prince George County Public Schools,J.E.J. Moore Middle ,Chronic Absenteeism,2018 - 2019,211,1512,13.96
2019,Prince George County Public Schools,L.L. Beazley Elementary,Chronic Absenteeism,2018 - 2019,62,608,10.2
2019,Prince George County Public Schools,North Elementary,Chronic Absenteeism,2018 - 2019,92,723,12.72
2019,Prince George County Public Schools,Prince George High,Chronic Absenteeism,2018 - 2019,282,1802,15.65
2019,Prince George County Public Schools,South Elementary,Chronic Absenteeism,2018 - 2019,45,474,9.49
2019,Prince George County Public Schools,William A. Walton Elementary,Chronic Absenteeism,2018 - 2019,56,570,9.82
2019,Prince William County Public Schools,A. Henderson Elementary,Chronic Absenteeism,2018 - 2019,47,828,5.68
2019,Prince William County Public Schools,Antietam Elementary,Chronic Absenteeism,2018 - 2019,44,633,6.95
2019,Prince William County Public Schools,Ashland Elementary,Chronic Absenteeism,2018 - 2019,38,829,4.58
2019,Prince William County Public Schools,Battlefield High ,Chronic Absenteeism,2018 - 2019,295,3020,9.77
2019,Prince William County Public Schools,Bel Air Elementary,Chronic Absenteeism,2018 - 2019,29,398,7.29
2019,Prince William County Public Schools,Belmont Elementary,Chronic Absenteeism,2018 - 2019,28,456,6.14
2019,Prince William County Public Schools,Bennett Elementary,Chronic Absenteeism,2018 - 2019,30,688,4.36
2019,Prince William County Public Schools,Brentsville District High,Chronic Absenteeism,2018 - 2019,152,1012,15.02
2019,Prince William County Public Schools,Bristow Run Elementary,Chronic Absenteeism,2018 - 2019,13,663,1.96
2019,Prince William County Public Schools,Buckland Mills Elementary,Chronic Absenteeism,2018 - 2019,42,685,6.13
2019,Prince William County Public Schools,Bull Run Middle,Chronic Absenteeism,2018 - 2019,99,1188,8.33
2019,Prince William County Public Schools,C.A. Sinclair Elementary,Chronic Absenteeism,2018 - 2019,55,724,7.6
2019,Prince William County Public Schools,C.D. Hylton High,Chronic Absenteeism,2018 - 2019,363,2279,15.93
2019,Prince William County Public Schools,Cedar Point Elementary,Chronic Absenteeism,2018 - 2019,26,550,4.73
2019,Prince William County Public Schools,Charles J. Colgan Sr. High,Chronic Absenteeism,2018 - 2019,343,2548,13.46
2019,Prince William County Public Schools,Chris Yung Elementary,Chronic Absenteeism,2018 - 2019,24,666,3.6
2019,Prince William County Public Schools,Coles Elementary,Chronic Absenteeism,2018 - 2019,26,403,6.45
2019,Prince William County Public Schools,Covington-Harper Elementary,Chronic Absenteeism,2018 - 2019,41,636,6.45
2019,Prince William County Public Schools,Dale City Elementary,Chronic Absenteeism,2018 - 2019,31,430,7.21
2019,Prince William County Public Schools,Dumfries Elementary,Chronic Absenteeism,2018 - 2019,51,437,11.67
2019,Prince William County Public Schools,E.H. Marsteller Middle,Chronic Absenteeism,2018 - 2019,91,1314,6.93
2019,Prince William County Public Schools,Elizabeth Vaughan Elementary,Chronic Absenteeism,2018 - 2019,40,615,6.5
2019,Prince William County Public Schools,Enterprise Elementary,Chronic Absenteeism,2018 - 2019,16,371,4.31
2019,Prince William County Public Schools,Fannie W. Fitzgerald Elementary,Chronic Absenteeism,2018 - 2019,56,812,6.9
2019,Prince William County Public Schools,Featherstone Elementary,Chronic Absenteeism,2018 - 2019,54,486,11.11
2019,Prince William County Public Schools,Forest Park High,Chronic Absenteeism,2018 - 2019,312,2203,14.16
2019,Prince William County Public Schools,Fred M. Lynn Middle,Chronic Absenteeism,2018 - 2019,150,1211,12.39
2019,Prince William County Public Schools,Freedom High ,Chronic Absenteeism,2018 - 2019,553,2249,24.59
2019,Prince William County Public Schools,Gainesville Middle,Chronic Absenteeism,2018 - 2019,49,1422,3.45
2019,Prince William County Public Schools,Gar-Field High,Chronic Absenteeism,2018 - 2019,453,2358,19.21
2019,Prince William County Public Schools,George G. Tyler Elementary,Chronic Absenteeism,2018 - 2019,12,454,2.64
2019,Prince William County Public Schools,George M. Hampton Middle,Chronic Absenteeism,2018 - 2019,140,1052,13.31
2019,Prince William County Public Schools,George P. Mullen Elementary,Chronic Absenteeism,2018 - 2019,60,729,8.23
2019,Prince William County Public Schools,Glenkirk Elementary,Chronic Absenteeism,2018 - 2019,22,763,2.88
2019,Prince William County Public Schools,Graham Park Middle,Chronic Absenteeism,2018 - 2019,136,1021,13.32
2019,Prince William County Public Schools,Haymarket Elementary,Chronic Absenteeism,2018 - 2019,60,899,6.67
2019,Prince William County Public Schools,Herbert J. Saunders Middle,Chronic Absenteeism,2018 - 2019,51,1204,4.24
2019,Prince William County Public Schools,J.W. Alvey Elementary,Chronic Absenteeism,2018 - 2019,31,658,4.71
2019,Prince William County Public Schools,John F. Pattie Sr. Elementary,Chronic Absenteeism,2018 - 2019,49,684,7.16
2019,Prince William County Public Schools,Kerrydale Elementary,Chronic Absenteeism,2018 - 2019,37,469,7.89
2019,Prince William County Public Schools,Kyle R. Wilson Elementary,Chronic Absenteeism,2018 - 2019,77,882,8.73
2019,Prince William County Public Schools,Lake Ridge Elementary,Chronic Absenteeism,2018 - 2019,27,577,4.68
2019,Prince William County Public Schools,Lake Ridge Middle,Chronic Absenteeism,2018 - 2019,106,1398,7.58
2019,Prince William County Public Schools,Leesylvania Elementary,Chronic Absenteeism,2018 - 2019,73,746,9.79
2019,Prince William County Public Schools,Loch Lomond Elementary,Chronic Absenteeism,2018 - 2019,29,506,5.73
2019,Prince William County Public Schools,Louise A. Benton Middle,Chronic Absenteeism,2018 - 2019,113,1433,7.89
2019,Prince William County Public Schools,Martin Luther King Jr. Elementary,Chronic Absenteeism,2018 - 2019,11,422,2.61
2019,Prince William County Public Schools,Marumsco Hills Elementary,Chronic Absenteeism,2018 - 2019,70,623,11.24
2019,Prince William County Public Schools,Mary G. Porter Traditional,Chronic Absenteeism,2018 - 2019,0,675,0
2019,Prince William County Public Schools,Mary Williams Elementary ,Chronic Absenteeism,2018 - 2019,48,731,6.57
2019,Prince William County Public Schools,Minnieville Elementary,Chronic Absenteeism,2018 - 2019,48,539,8.91
2019,Prince William County Public Schools,Montclair Elementary,Chronic Absenteeism,2018 - 2019,52,652,7.98
2019,Prince William County Public Schools,Mountain View Elementary,Chronic Absenteeism,2018 - 2019,30,546,5.49
2019,Prince William County Public Schools,Neabsco Elementary,Chronic Absenteeism,2018 - 2019,70,682,10.26
2019,Prince William County Public Schools,Occoquan Elementary,Chronic Absenteeism,2018 - 2019,40,658,6.08
2019,Prince William County Public Schools,Old Bridge Elementary,Chronic Absenteeism,2018 - 2019,50,726,6.89
2019,Prince William County Public Schools,Osbourn Park High,Chronic Absenteeism,2018 - 2019,386,2369,16.29
2019,Prince William County Public Schools,Parkside Middle,Chronic Absenteeism,2018 - 2019,169,1422,11.88
2019,Prince William County Public Schools,Patriot High,Chronic Absenteeism,2018 - 2019,351,2709,12.96
2019,Prince William County Public Schools,Pennington Elementary,Chronic Absenteeism,2018 - 2019,11,648,1.7
2019,Prince William County Public Schools,Piney Branch Elementary,Chronic Absenteeism,2018 - 2019,37,799,4.63
2019,Prince William County Public Schools,Potomac High,Chronic Absenteeism,2018 - 2019,514,1974,26.04
2019,Prince William County Public Schools,Potomac Middle,Chronic Absenteeism,2018 - 2019,136,1259,10.8
2019,Prince William County Public Schools,Potomac View Elementary,Chronic Absenteeism,2018 - 2019,67,638,10.5
2019,Prince William County Public Schools,R. Dean Kilby Elementary,Chronic Absenteeism,2018 - 2019,53,754,7.03
2019,Prince William County Public Schools,Rippon Middle,Chronic Absenteeism,2018 - 2019,144,1295,11.12
2019,Prince William County Public Schools,River Oaks Elementary,Chronic Absenteeism,2018 - 2019,63,651,9.68
2019,Prince William County Public Schools,Rockledge Elementary,Chronic Absenteeism,2018 - 2019,20,625,3.2
2019,Prince William County Public Schools,Ronald Wilson Reagan Middle,Chronic Absenteeism,2018 - 2019,105,1385,7.58
2019,Prince William County Public Schools,Rosa Parks Elementary,Chronic Absenteeism,2018 - 2019,23,702,3.28
2019,Prince William County Public Schools,Samuel L. Gravely Jr. Elementary,Chronic Absenteeism,2018 - 2019,47,813,5.78
2019,Prince William County Public Schools,Sharon C. McAuliffe Elementary,Chronic Absenteeism,2018 - 2019,39,429,9.09
2019,Prince William County Public Schools,Signal Hill Elementary,Chronic Absenteeism,2018 - 2019,82,718,11.42
2019,Prince William County Public Schools,Sonnie Penn Elementary,Chronic Absenteeism,2018 - 2019,73,864,8.45
2019,Prince William County Public Schools,Springwoods Elementary,Chronic Absenteeism,2018 - 2019,19,659,2.88
2019,Prince William County Public Schools,Stuart M. Beville Middle,Chronic Absenteeism,2018 - 2019,119,1077,11.05
2019,Prince William County Public Schools,Sudley Elementary,Chronic Absenteeism,2018 - 2019,97,678,14.31
2019,Prince William County Public Schools,Suella G. Ellis Elementary,Chronic Absenteeism,2018 - 2019,57,516,11.05
2019,Prince William County Public Schools,Swans Creek Elementary,Chronic Absenteeism,2018 - 2019,30,674,4.45
2019,Prince William County Public Schools,T. Clay Wood Elementary,Chronic Absenteeism,2018 - 2019,39,915,4.26
2019,Prince William County Public Schools,The Nokesville School,Chronic Absenteeism,2018 - 2019,79,1002,7.88
2019,Prince William County Public Schools,Thurgood Marshall Elementary,Chronic Absenteeism,2018 - 2019,33,664,4.97
2019,Prince William County Public Schools,Triangle Elementary,Chronic Absenteeism,2018 - 2019,99,769,12.87
2019,Prince William County Public Schools,Unity Braxton Middle ,Chronic Absenteeism,2018 - 2019,140,1162,12.05
2019,Prince William County Public Schools,Unity Reed High,Chronic Absenteeism,2018 - 2019,678,2503,27.09
2019,Prince William County Public Schools,Victory Elementary,Chronic Absenteeism,2018 - 2019,62,655,9.47
2019,Prince William County Public Schools,West Gate Elementary,Chronic Absenteeism,2018 - 2019,26,505,5.15
2019,Prince William County Public Schools,Westridge Elementary,Chronic Absenteeism,2018 - 2019,45,720,6.25
2019,Prince William County Public Schools,Woodbridge High,Chronic Absenteeism,2018 - 2019,540,2713,19.9
2019,Prince William County Public Schools,Woodbridge Middle,Chronic Absenteeism,2018 - 2019,127,1329,9.56
2019,Prince William County Public Schools,Yorkshire Elementary,Chronic Absenteeism,2018 - 2019,51,769,6.63
2019,Pulaski County Public Schools,Critzer Elementary,Chronic Absenteeism,2018 - 2019,54,377,14.32
2019,Pulaski County Public Schools,Dublin Elementary,Chronic Absenteeism,2018 - 2019,39,442,8.82
2019,Pulaski County Public Schools,Pulaski County Senior High,Chronic Absenteeism,2018 - 2019,203,1215,16.71
2019,Pulaski County Public Schools,Pulaski Elementary ,Chronic Absenteeism,2018 - 2019,52,512,10.16
2019,Pulaski County Public Schools,Riverlawn Elementary,Chronic Absenteeism,2018 - 2019,30,363,8.26
2019,Pulaski County Public Schools,Snowville Elementary,Chronic Absenteeism,2018 - 2019,2,124,1.61
